INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (2, Popescu, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (3, Popescu, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (4, Popescu, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (5, Popescu, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (6, Popescu, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (7, Popescu, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (8, Popescu, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (9, Popescu, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (10, Popescu, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (11, Ionescu, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (12, Ionescu, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (13, Ionescu, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (14, Ionescu, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (15, Ionescu, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (16, Ionescu, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (17, Ionescu, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (18, Ionescu, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (19, Ionescu, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (20, Popa, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (21, Popa, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (22, Popa, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (23, Popa, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (24, Popa, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (25, Popa, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (26, Popa, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (27, Popa, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (28, Popa, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (29, Pop, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (30, Pop, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (31, Pop, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (32, Pop, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (33, Pop, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (34, Pop, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (35, Pop, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (36, Pop, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (37, Pop, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (38, Niță, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (39, Niță, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (40, Niță, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (41, Niță, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (42, Niță, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (43, Niță, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (44, Niță, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (45, Niță, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (46, Niță, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (47, Stoica, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (48, Stoica, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (49, Stoica, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (50, Stoica, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (51, Stoica, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (52, Stoica, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (53, Stoica, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (54, Stoica, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (55, Stoica, Ştefania);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (56, Die , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (57, Keep , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (58, Back , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (59, Never , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (60, World , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (61, Feel Take Little , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (62, Around Heart Girl , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (63, Time Day Time , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (64, Man , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (65, Die Keep Yeah , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (66, Mind Heart , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (67, Back Night , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (68, World Give , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (69, Eye Yeah , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (70, Mind World Life Girl , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (71, Heart Give Around World , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (72, World Feel Never Yeah , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (73, Time Heart , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (74, Life , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (75, Night , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (76, Hell Little Time Good , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (77, Hell Hell , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (78, Dream Man Girl , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (79, World Die Give , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (80, World , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (81, Heart , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (82, Time , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (83, Girl Feel , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (84, World Night Feel , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (85, Good , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (86, Around Never Good Dream , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (87, Day Little Day Feel , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (88, Hell Time , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (89, Good Mind Back Never , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (90, Back Good Good Life , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (91, Baby Away , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (92, Give , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (93, Man Girl Around Away , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (94, Hell Time Heart , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (95, Back Little , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (96, Life Yeah Give , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (97, Fall Good Man , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (98, Back Little Night , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (99, World , 5);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (100, Night , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (101, Time Baby , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (102, Keep Baby Heart , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (103, World Away Again , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (104, Take , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (105, Give Yeah Day , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (106, Away , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (107, Life Feel , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (108, Hell Girl Life , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (109, Keep , 6);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (110, World Yeah Give Give , 4);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (111, Time Man Day , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (112, Yeah Life Fall Day , 2);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (113, Time Give Again , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (114, Good Time Back Fall , 3);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (115, Good Hell Around , 5);
